,Condition_1,Condition_1_prime_1,Condition_1_prime_2,Condition_1_prime_3,Condition_1_prime_4,Condition_1_prime_5,Condition_1_prime_6,Condition_1_prime_7,Condition_1_prime_8,Condition_1_prime_9,Condition_1_prime_10,Condition_2,Condition_2_prime_1,Condition_2_prime_2,Condition_2_prime_3,Condition_2_prime_4,Condition_2_prime_5,Condition_2_prime_6,Condition_2_prime_7,Condition_2_prime_8,Condition_2_prime_9,Condition_2_prime_10,Condition_3,Condition_3_prime_1,Condition_3_prime_2,Condition_3_prime_3,Condition_3_prime_4,Condition_3_prime_5,Condition_3_prime_6,Condition_3_prime_7,Condition_3_prime_8,Condition_3_prime_9,Condition_3_prime_10,Condition_4,Condition_4_prime_1,Condition_4_prime_2,Condition_4_prime_3,Condition_4_prime_4,Condition_4_prime_5,Condition_4_prime_6,Condition_4_prime_7,Condition_4_prime_8,Condition_4_prime_9,Condition_4_prime_10,Condition_5,Condition_5_prime_1,Condition_5_prime_2,Condition_5_prime_3,Condition_5_prime_4,Condition_5_prime_5,Condition_5_prime_6,Condition_5_prime_7,Condition_5_prime_8,Condition_5_prime_9,Condition_5_prime_10,Condition_6,Condition_6_prime_1,Condition_6_prime_2,Condition_6_prime_3,Condition_6_prime_4,Condition_6_prime_5,Condition_6_prime_6,Condition_6_prime_7,Condition_6_prime_8,Condition_6_prime_9,Condition_6_prime_10,Condition_7,Condition_7_prime_1,Condition_7_prime_2,Condition_7_prime_3,Condition_7_prime_4,Condition_7_prime_5,Condition_7_prime_6,Condition_7_prime_7,Condition_7_prime_8,Condition_7_prime_9,Condition_7_prime_10,Condition_8,Condition_8_prime_1,Condition_8_prime_2,Condition_8_prime_3,Condition_8_prime_4,Condition_8_prime_5,Condition_8_prime_6,Condition_8_prime_7,Condition_8_prime_8,Condition_8_prime_9,Condition_8_prime_10,Condition_9,Condition_9_prime_1,Condition_9_prime_2,Condition_9_prime_3,Condition_9_prime_4,Condition_9_prime_5,Condition_9_prime_6,Condition_9_prime_7,Condition_9_prime_8,Condition_9_prime_9,Condition_9_prime_10,Condition_10,Condition_10_prime_1,Condition_10_prime_2,Condition_10_prime_3,Condition_10_prime_4,Condition_10_prime_5,Condition_10_prime_6,Condition_10_prime_7,Condition_10_prime_8,Condition_10_prime_9,Condition_10_prime_10
Condition_1,1.0,0.7057,0.923,0.8095,0.9048,0.9048,0.9011,0.8083,0.9138,1.0,0.9997,0.8957,0.7729,0.8236,0.7105,0.8058,0.8095,0.8957,0.8861,0.8957,0.8861,0.9043,0.3614,0.3614,0.3614,0.2752,0.3614,0.3614,0.3614,0.3614,0.3611,0.2674,0.3614,0.4869,0.4869,0.4869,0.4006,0.4869,0.4686,0.4869,0.4869,0.4869,0.4686,0.4869,0.7531,0.6578,0.5674,0.6284,0.692,0.6632,0.7531,0.7234,0.626,0.7092,0.7531,0.7767,0.6666,0.7065,0.5924,0.7035,0.7001,0.7767,0.7065,0.8011,0.8005,0.7504,0.8424,0.7472,0.8108,0.652,0.8411,0.7932,0.8424,0.7472,0.7558,0.8424,0.842,0.7934,0.6982,0.7767,0.6345,0.7897,0.714,0.7494,0.7501,0.8443,0.8083,0.7664,0.5793,0.3892,0.3979,0.4803,0.5793,0.4534,0.561,0.5793,0.5793,0.4661,0.4844,0.5161,0.4212,0.3347,0.5161,0.4391,0.5161,0.5161,0.5161,0.4298,0.4174,0.4212
Condition_1_prime_1,0.7057,1.0,0.6964,0.6181,0.6116,0.6169,0.7901,0.6261,0.6964,0.7057,0.7053,0.6103,0.6789,0.5772,0.6153,0.5247,0.5275,0.6103,0.6922,0.6103,0.5971,0.6165,0.3306,0.3306,0.3306,0.2366,0.3306,0.3306,0.3306,0.3306,0.3268,0.2351,0.3302,0.5027,0.598,0.5027,0.4088,0.5027,0.4711,0.5027,0.5027,0.5027,0.4711,0.5027,0.4689,0.5642,0.4076,0.3477,0.4113,0.3824,0.4689,0.4393,0.4659,0.519,0.4689,0.4925,0.5726,0.4333,0.4975,0.4228,0.4193,0.4925,0.5284,0.5668,0.5161,0.56,0.667,0.6923,0.6034,0.646,0.6024,0.5692,0.6658,0.6745,0.5771,0.6667,0.6472,0.5093,0.6045,0.4925,0.3504,0.509,0.4332,0.6539,0.4647,0.5599,0.5241,0.5759,0.5025,0.6453,0.4085,0.3611,0.5025,0.3249,0.4708,0.5025,0.5025,0.4708,0.5025,0.4216,0.4216,0.3273,0.4216,0.3301,0.4216,0.4216,0.4216,0.3276,0.4033,0.4216
Condition_1_prime_2,0.923,0.6964,1.0,0.7459,0.9048,0.8411,0.8958,0.8694,0.9138,0.923,0.9227,0.832,0.7093,0.8715,0.6469,0.7582,0.7619,0.832,0.8091,0.832,0.8091,0.8407,0.3946,0.3946,0.3946,0.3084,0.3946,0.3946,0.3946,0.3946,0.3934,0.3006,0.3946,0.4603,0.4603,0.4603,0.3741,0.4603,0.4287,0.4603,0.4603,0.4603,0.4287,0.4603,0.6894,0.5942,0.5808,0.5808,0.6444,0.5995,0.6894,0.6464,0.5623,0.6322,0.6894,0.713,0.6029,0.7198,0.5288,0.6559,0.6525,0.713,0.7198,0.7695,0.7369,0.6734,0.829,0.7022,0.7814,0.6349,0.8278,0.7629,0.829,0.7339,0.7415,0.829,0.8274,0.7458,0.6505,0.713,0.6345,0.7421,0.6824,0.6724,0.7501,0.7674,0.7606,0.7027,0.5528,0.3627,0.3714,0.5121,0.5528,0.4854,0.5212,0.5528,0.5528,0.4263,0.4579,0.4775,0.3826,0.296,0.4775,0.4775,0.4775,0.4775,0.4775,0.3912,0.3736,0.3826
Condition_1_prime_3,0.8095,0.6181,0.7459,1.0,0.7372,0.8009,0.8092,0.6469,0.7325,0.8095,0.8095,0.8004,0.6789,0.6503,0.8957,0.7117,0.7152,0.8004,0.8091,0.8004,0.7139,0.8004,0.2227,0.2227,0.2227,0.1457,0.2227,0.2227,0.2227,0.2227,0.2227,0.1288,0.2227,0.3179,0.3179,0.3179,0.2409,0.3179,0.3142,0.3179,0.3179,0.3179,0.3142,0.3179,0.6582,0.5629,0.5422,0.5344,0.598,0.5692,0.6582,0.5992,0.4921,0.5757,0.6582,0.6818,0.5726,0.5563,0.7751,0.6095,0.6061,0.6818,0.5566,0.6382,0.7055,0.6169,0.6679,0.573,0.6497,0.7632,0.667,0.6353,0.6679,0.6679,0.5909,0.6679,0.6679,0.6985,0.6033,0.6818,0.5396,0.6958,0.62,0.6156,0.6389,0.7201,0.7134,0.6715,0.4103,0.3154,0.3333,0.3426,0.4103,0.3241,0.4066,0.4103,0.4103,0.3117,0.3154,0.3628,0.3541,0.2858,0.3628,0.2991,0.3628,0.3628,0.3628,0.2858,0.2675,0.2679
Condition_1_prime_4,0.9048,0.6116,0.9048,0.7372,1.0,0.8411,0.8061,0.79,0.8278,0.9048,0.9044,0.832,0.7093,0.8054,0.6382,0.8534,0.7619,0.832,0.7912,0.832,0.7909,0.8407,0.3494,0.3494,0.3494,0.2724,0.3494,0.3494,0.3494,0.3494,0.3491,0.2579,0.3494,0.3979,0.3979,0.3979,0.3209,0.3979,0.3796,0.3979,0.3979,0.3979,0.3796,0.3979,0.6894,0.5942,0.552,0.5808,0.6444,0.5995,0.6894,0.6464,0.5341,0.6177,0.6894,0.713,0.6029,0.6907,0.5225,0.7511,0.6525,0.713,0.6919,0.7176,0.7369,0.6589,0.7496,0.6556,0.718,0.5595,0.8449,0.7017,0.7496,0.6547,0.6723,0.7496,0.7493,0.7458,0.6505,0.713,0.6345,0.7421,0.6823,0.6551,0.7489,0.7673,0.7606,0.7027,0.4866,0.2977,0.3147,0.4646,0.4866,0.4377,0.4683,0.4866,0.4866,0.3744,0.3926,0.4234,0.3294,0.2515,0.4234,0.4234,0.4234,0.4234,0.4234,0.3464,0.3257,0.3294
Condition_1_prime_5,0.9048,0.6169,0.8411,0.8009,0.8411,1.0,0.8086,0.7365,0.8278,0.9048,0.9048,0.8957,0.7729,0.7446,0.7018,0.8058,0.8095,0.8957,0.8085,0.8957,0.8082,0.9034,0.3214,0.3214,0.3214,0.2444,0.3214,0.3214,0.3214,0.3214,0.3213,0.2299,0.3214,0.4169,0.4169,0.4169,0.3399,0.4169,0.4079,0.4169,0.4169,0.4169,0.4079,0.4169,0.7531,0.6578,0.536,0.6284,0.692,0.6632,0.7531,0.694,0.5818,0.6653,0.7531,0.7767,0.6666,0.6454,0.5862,0.7035,0.7001,0.7767,0.6466,0.7349,0.8005,0.7065,0.7656,0.6717,0.7474,0.5755,0.7656,0.734,0.7656,0.6708,0.6886,0.7656,0.7656,0.7934,0.6982,0.7767,0.6345,0.7897,0.714,0.7027,0.7329,0.815,0.8083,0.7664,0.5056,0.3167,0.3337,0.4316,0.5056,0.41,0.4965,0.5056,0.5056,0.4026,0.4116,0.458,0.364,0.2861,0.458,0.3944,0.458,0.458,0.458,0.381,0.3628,0.364
Condition_1_prime_6,0.9011,0.7901,0.8958,0.8092,0.8061,0.8086,1.0,0.7767,0.8958,0.9011,0.9008,0.8008,0.679,0.7763,0.7105,0.7118,0.7156,0.8008,0.8861,0.8008,0.7909,0.8094,0.2991,0.2991,0.2991,0.2076,0.2991,0.2991,0.2991,0.2991,0.2954,0.2042,0.2991,0.4539,0.4539,0.4539,0.3624,0.4539,0.4223,0.4539,0.4539,0.4539,0.4223,0.4539,0.6582,0.5629,0.5888,0.5344,0.598,0.5692,0.6582,0.6285,0.5612,0.6143,0.6582,0.6818,0.5726,0.6247,0.5924,0.6095,0.6062,0.6818,0.6249,0.7606,0.7056,0.6555,0.8266,0.6975,0.779,0.7201,0.8008,0.7412,0.8266,0.8268,0.7313,0.8265,0.8172,0.6985,0.6033,0.6818,0.5396,0.6958,0.62,0.6543,0.6549,0.7494,0.7134,0.6715,0.5481,0.4529,0.4566,0.4303,0.5481,0.3892,0.5165,0.5481,0.5481,0.4213,0.4529,0.4753,0.3801,0.3837,0.4753,0.389,0.4753,0.4753,0.4753,0.3838,0.3801,0.3801
Condition_1_prime_7,0.8083,0.6261,0.8694,0.6469,0.79,0.7365,0.7767,1.0,0.7832,0.8083,0.8079,0.7327,0.6138,0.7543,0.5503,0.6617,0.6626,0.7327,0.7036,0.7327,0.7989,0.7352,0.3967,0.3967,0.3967,0.3052,0.3967,0.3967,0.3967,0.3967,0.3877,0.3015,0.3964,0.4631,0.4631,0.4631,0.3716,0.4631,0.4631,0.4631,0.4631,0.4631,0.4631,0.4631,0.5942,0.4989,0.5027,0.4855,0.5492,0.5043,0.5942,0.5511,0.5701,0.5369,0.5942,0.6174,0.5077,0.6206,0.4334,0.5606,0.5569,0.6174,0.6205,0.6641,0.6403,0.5769,0.7618,0.5952,0.7035,0.5442,0.6972,0.6721,0.7606,0.6657,0.6666,0.7615,0.734,0.6505,0.5552,0.6174,0.5393,0.6468,0.5871,0.5759,0.6539,0.6708,0.6651,0.6062,0.5573,0.3669,0.3706,0.5391,0.5573,0.4804,0.5586,0.5573,0.5573,0.4622,0.4622,0.4817,0.3866,0.2947,0.4817,0.4817,0.4817,0.4817,0.4817,0.3902,0.3683,0.3866
Condition_1_prime_8,0.9138,0.6964,0.9138,0.7325,0.8278,0.8278,0.8958,0.7832,1.0,0.9138,0.9134,0.8187,0.6959,0.7853,0.6335,0.7421,0.7459,0.8187,0.7999,0.8187,0.7999,0.8274,0.3084,0.3084,0.3084,0.3084,0.3084,0.3084,0.3084,0.3084,0.3072,0.2144,0.3083,0.4603,0.4603,0.4603,0.4603,0.4603,0.4287,0.4603,0.4603,0.4603,0.4287,0.4603,0.6761,0.5808,0.4946,0.6284,0.6284,0.5862,0.6761,0.7234,0.5623,0.6229,0.6761,0.6997,0.5896,0.6336,0.5154,0.6399,0.6365,0.6997,0.6336,0.8558,0.7235,0.6642,0.829,0.7022,0.7814,0.6349,0.8185,0.7536,0.829,0.7339,0.8278,0.829,0.8274,0.7298,0.6345,0.7767,0.5869,0.7261,0.6663,0.6632,0.6731,0.8443,0.7446,0.6894,0.5528,0.3627,0.4576,0.4259,0.5528,0.3992,0.5212,0.5528,0.5528,0.4263,0.4579,0.4775,0.3826,0.3822,0.4775,0.3912,0.4775,0.4775,0.4775,0.4775,0.3736,0.3826
Condition_1_prime_9,1.0,0.7057,0.923,0.8095,0.9048,0.9048,0.9011,0.8083,0.9138,1.0,0.9997,0.8957,0.7729,0.8236,0.7105,0.8058,0.8095,0.8957,0.8861,0.8957,0.8861,0.9043,0.3614,0.3614,0.3614,0.2752,0.3614,0.3614,0.3614,0.3614,0.3611,0.2674,0.3614,0.4869,0.4869,0.4869,0.4006,0.4869,0.4686,0.4869,0.4869,0.4869,0.4686,0.4869,0.7531,0.6578,0.5674,0.6284,0.692,0.6632,0.7531,0.7234,0.626,0.7092,0.7531,0.7767,0.6666,0.7065,0.5924,0.7035,0.7001,0.7767,0.7065,0.8011,0.8005,0.7504,0.8424,0.7472,0.8108,0.652,0.8411,0.7932,0.8424,0.7472,0.7558,0.8424,0.842,0.7934,0.6982,0.7767,0.6345,0.7897,0.714,0.7494,0.7501,0.8443,0.8083,0.7664,0.5793,0.3892,0.3979,0.4803,0.5793,0.4534,0.561,0.5793,0.5793,0.4661,0.4844,0.5161,0.4212,0.3347,0.5161,0.4391,0.5161,0.5161,0.5161,0.4298,0.4174,0.4212
