,distr,score,LLE,loc,scale,arg
0,dweibull,11.4312976068552,,0.6746854112143421,0.12610212497907675,"(1.3581090746282825,)"
1,burr,11.514329364645654,,0.17740754235253356,0.6192963357435286,"(11.027466643758611, 0.2826080624296333)"
2,t,11.58351788716903,,0.6674319608475668,0.14304236506869789,"(4961230.454389505,)"
3,norm,11.583551112695426,,0.6674300000000001,0.14304409028920653,()
4,lognorm,11.636040442784832,,-17.368744655344134,18.036055279836194,"(0.007916807841823293,)"
5,gamma,11.84169607900124,,-2.86717743550797,0.005818811938162251,"(607.3912329133689,)"
6,chi2,12.35000399067624,,-0.8978942444913716,0.0068177914128694315,"(229.36078933165197,)"
7,logistic,12.671002372639101,,0.6692387955291912,0.08229840316387355,()
8,cauchy,21.93397291546289,,0.6744055144480899,0.08970967081980785,()
9,expon,95.54580930432708,,0.234,0.4334300000000001,()
10,pareto,95.54580959706782,,-33554431.766,33554431.999999996,"(77416035.6080457,)"
