,Condition_1,Condition_1_prime_1,Condition_1_prime_2,Condition_1_prime_3,Condition_1_prime_4,Condition_1_prime_5,Condition_1_prime_6,Condition_1_prime_7,Condition_1_prime_8,Condition_1_prime_9,Condition_1_prime_10,Condition_2,Condition_2_prime_1,Condition_2_prime_2,Condition_2_prime_3,Condition_2_prime_4,Condition_2_prime_5,Condition_2_prime_6,Condition_2_prime_7,Condition_2_prime_8,Condition_2_prime_9,Condition_2_prime_10,Condition_3,Condition_3_prime_1,Condition_3_prime_2,Condition_3_prime_3,Condition_3_prime_4,Condition_3_prime_5,Condition_3_prime_6,Condition_3_prime_7,Condition_3_prime_8,Condition_3_prime_9,Condition_3_prime_10,Condition_4,Condition_4_prime_1,Condition_4_prime_2,Condition_4_prime_3,Condition_4_prime_4,Condition_4_prime_5,Condition_4_prime_6,Condition_4_prime_7,Condition_4_prime_8,Condition_4_prime_9,Condition_4_prime_10,Condition_5,Condition_5_prime_1,Condition_5_prime_2,Condition_5_prime_3,Condition_5_prime_4,Condition_5_prime_5,Condition_5_prime_6,Condition_5_prime_7,Condition_5_prime_8,Condition_5_prime_9,Condition_5_prime_10,Condition_6,Condition_6_prime_1,Condition_6_prime_2,Condition_6_prime_3,Condition_6_prime_4,Condition_6_prime_5,Condition_6_prime_6,Condition_6_prime_7,Condition_6_prime_8,Condition_6_prime_9,Condition_6_prime_10,Condition_7,Condition_7_prime_1,Condition_7_prime_2,Condition_7_prime_3,Condition_7_prime_4,Condition_7_prime_5,Condition_7_prime_6,Condition_7_prime_7,Condition_7_prime_8,Condition_7_prime_9,Condition_7_prime_10,Condition_8,Condition_8_prime_1,Condition_8_prime_2,Condition_8_prime_3,Condition_8_prime_4,Condition_8_prime_5,Condition_8_prime_6,Condition_8_prime_7,Condition_8_prime_8,Condition_8_prime_9,Condition_8_prime_10,Condition_9,Condition_9_prime_1,Condition_9_prime_2,Condition_9_prime_3,Condition_9_prime_4,Condition_9_prime_5,Condition_9_prime_6,Condition_9_prime_7,Condition_9_prime_8,Condition_9_prime_9,Condition_9_prime_10,Condition_10,Condition_10_prime_1,Condition_10_prime_2,Condition_10_prime_3,Condition_10_prime_4,Condition_10_prime_5,Condition_10_prime_6,Condition_10_prime_7,Condition_10_prime_8,Condition_10_prime_9,Condition_10_prime_10
Condition_1,1.0,0.6904,0.9333,0.8087,0.9,0.9003,0.8927,0.8076,0.922,1.0,0.9973,0.8842,0.7561,0.82,0.6986,0.7908,0.7988,0.8841,0.8742,0.8842,0.8742,0.895,0.3586,0.3586,0.3586,0.2806,0.3586,0.3586,0.3586,0.3586,0.3559,0.2645,0.3578,0.4669,0.4669,0.4669,0.389,0.4669,0.4461,0.4669,0.4669,0.4669,0.4461,0.4669,0.7412,0.6412,0.5623,0.6224,0.6765,0.6512,0.7412,0.7192,0.6149,0.7009,0.7414,0.7697,0.6539,0.7037,0.5824,0.6946,0.6892,0.7694,0.7036,0.803,0.7906,0.7423,0.8522,0.7522,0.8218,0.6532,0.8455,0.8013,0.8522,0.7532,0.7715,0.8514,0.8495,0.7845,0.6845,0.7689,0.6298,0.7722,0.7055,0.7376,0.7397,0.8351,0.7993,0.7527,0.5577,0.3617,0.3808,0.4618,0.5577,0.4444,0.5369,0.5577,0.5577,0.4398,0.4606,0.5084,0.4113,0.3308,0.5084,0.4417,0.5084,0.5084,0.5084,0.4304,0.403,0.4113
Condition_1_prime_1,0.6904,1.0,0.6831,0.6068,0.5961,0.6016,0.7753,0.6153,0.6831,0.6904,0.6877,0.5895,0.6616,0.5522,0.5988,0.5081,0.5142,0.589,0.6693,0.5895,0.5714,0.5963,0.3377,0.3377,0.3377,0.2444,0.3377,0.3377,0.3377,0.3377,0.3293,0.236,0.335,0.4887,0.5887,0.4887,0.3955,0.4887,0.4584,0.4887,0.4887,0.4887,0.4584,0.4887,0.4507,0.5507,0.4036,0.3421,0.3962,0.3709,0.4507,0.4285,0.4546,0.5036,0.4509,0.478,0.5603,0.4171,0.4846,0.4137,0.4076,0.4776,0.5149,0.5481,0.4983,0.5426,0.6608,0.6924,0.6066,0.6369,0.5888,0.5584,0.6574,0.6764,0.5745,0.6581,0.6338,0.4934,0.5934,0.4772,0.3387,0.4913,0.4249,0.636,0.4423,0.542,0.5075,0.553,0.4869,0.6285,0.3936,0.3487,0.4869,0.3196,0.4565,0.4869,0.4869,0.4565,0.4869,0.4252,0.4252,0.3292,0.4252,0.3381,0.4252,0.4252,0.4252,0.3319,0.4043,0.4252
Condition_1_prime_2,0.9333,0.6831,1.0,0.7545,0.9,0.8461,0.8875,0.8613,0.9219,0.9333,0.9306,0.8305,0.7019,0.8605,0.6444,0.7491,0.7576,0.8299,0.808,0.8304,0.8082,0.8408,0.39,0.39,0.39,0.312,0.39,0.39,0.39,0.39,0.3851,0.2953,0.3886,0.4434,0.4434,0.4434,0.3654,0.4434,0.4131,0.4434,0.4434,0.4434,0.4131,0.4434,0.687,0.587,0.5748,0.5807,0.6348,0.597,0.687,0.6525,0.5607,0.6341,0.6872,0.7155,0.5997,0.7168,0.5282,0.6529,0.6476,0.7152,0.7168,0.7733,0.737,0.6756,0.8393,0.7097,0.7976,0.6326,0.8326,0.7738,0.8393,0.7403,0.7564,0.8378,0.8324,0.7428,0.6428,0.7147,0.6298,0.7305,0.6752,0.6709,0.7397,0.7683,0.7576,0.6985,0.5342,0.3381,0.3572,0.4903,0.5342,0.4716,0.5039,0.5342,0.5342,0.4068,0.4371,0.4766,0.3796,0.2983,0.4766,0.4766,0.4766,0.4766,0.4766,0.3987,0.366,0.3796
Condition_1_prime_3,0.8087,0.6068,0.7545,1.0,0.7352,0.7896,0.806,0.6462,0.742,0.8087,0.8087,0.7842,0.6621,0.6501,0.8839,0.6959,0.7025,0.7842,0.8032,0.7842,0.7035,0.7842,0.2153,0.2153,0.2153,0.1486,0.2153,0.2153,0.2153,0.2153,0.2139,0.1216,0.2149,0.2973,0.2973,0.2973,0.2306,0.2973,0.289,0.2973,0.2973,0.2973,0.289,0.2973,0.6441,0.5441,0.5385,0.5291,0.5832,0.5579,0.6441,0.5971,0.4789,0.5675,0.6444,0.6716,0.5604,0.5571,0.7648,0.601,0.5949,0.6716,0.5589,0.6435,0.6918,0.6075,0.6736,0.5763,0.6528,0.7649,0.6695,0.6381,0.6736,0.6736,0.6055,0.6733,0.6733,0.6873,0.5873,0.6717,0.5326,0.6789,0.6122,0.6013,0.6282,0.7126,0.702,0.655,0.3881,0.291,0.3213,0.3228,0.3881,0.3171,0.3797,0.3881,0.3881,0.2826,0.291,0.3489,0.3298,0.2818,0.3489,0.2947,0.3489,0.3489,0.3489,0.2822,0.2491,0.2518
Condition_1_prime_4,0.9,0.5961,0.9,0.7352,1.0,0.8458,0.7946,0.7745,0.8333,0.9,0.8973,0.83,0.7019,0.7878,0.625,0.8491,0.7571,0.8299,0.7772,0.83,0.7745,0.8408,0.3391,0.3391,0.3391,0.2724,0.3391,0.3391,0.3391,0.3391,0.3364,0.2514,0.3384,0.3808,0.3808,0.3808,0.314,0.3808,0.3599,0.3808,0.3808,0.3808,0.3599,0.3808,0.6867,0.5867,0.538,0.5804,0.6348,0.5967,0.6867,0.6522,0.5252,0.6136,0.687,0.7152,0.5997,0.6774,0.5152,0.7529,0.6472,0.7149,0.6831,0.7205,0.7361,0.6551,0.7585,0.6652,0.7281,0.5614,0.8585,0.7141,0.7585,0.6614,0.689,0.7577,0.7558,0.7425,0.6426,0.7145,0.6295,0.7305,0.6749,0.6415,0.7338,0.7681,0.7573,0.6983,0.465,0.2747,0.3013,0.4359,0.465,0.4185,0.4442,0.465,0.465,0.3509,0.3718,0.4158,0.3225,0.2513,0.4158,0.4157,0.4158,0.4158,0.4158,0.349,0.3141,0.3225
Condition_1_prime_5,0.9003,0.6016,0.8461,0.7896,0.8458,1.0,0.7983,0.7298,0.8335,0.9003,0.9003,0.8839,0.7561,0.7394,0.6795,0.7906,0.7985,0.8839,0.7955,0.8839,0.7929,0.8926,0.3134,0.3134,0.3134,0.2467,0.3134,0.3134,0.3134,0.3134,0.312,0.2261,0.3131,0.3981,0.3981,0.3981,0.3314,0.3981,0.3846,0.3981,0.3981,0.3981,0.3846,0.3981,0.7412,0.6412,0.5258,0.6224,0.6765,0.6512,0.7412,0.6942,0.5669,0.6556,0.7414,0.7694,0.6539,0.644,0.5696,0.6946,0.6889,0.7694,0.6497,0.7392,0.7903,0.697,0.7714,0.6779,0.7506,0.5744,0.7712,0.7397,0.7714,0.6744,0.7033,0.7711,0.7711,0.7845,0.6845,0.7689,0.6298,0.7722,0.7055,0.6834,0.7215,0.81,0.7993,0.7527,0.4824,0.2921,0.3186,0.4098,0.4824,0.3952,0.4689,0.4824,0.4824,0.3756,0.3891,0.4433,0.35,0.2791,0.4433,0.389,0.4433,0.4433,0.4433,0.3765,0.3451,0.35
Condition_1_prime_6,0.8927,0.7753,0.8875,0.806,0.7946,0.7983,1.0,0.7732,0.8874,0.8927,0.89,0.7876,0.6628,0.7616,0.6986,0.6975,0.706,0.7871,0.8747,0.7875,0.7759,0.7979,0.2937,0.2937,0.2937,0.2068,0.2937,0.2937,0.2937,0.2937,0.2854,0.1952,0.2923,0.4269,0.4269,0.4269,0.3399,0.4269,0.3966,0.4269,0.4269,0.4269,0.3966,0.4269,0.6441,0.5441,0.592,0.5291,0.5832,0.5579,0.6441,0.6221,0.555,0.6038,0.6444,0.6727,0.5606,0.6178,0.5824,0.6013,0.596,0.6723,0.6197,0.7523,0.6942,0.6453,0.8287,0.6975,0.787,0.7142,0.7887,0.7351,0.8287,0.8306,0.7334,0.8273,0.8132,0.6873,0.5873,0.6715,0.5327,0.6788,0.6121,0.638,0.6404,0.7373,0.7019,0.6557,0.5221,0.4231,0.4351,0.4138,0.5221,0.3763,0.4917,0.5221,0.5221,0.3928,0.4231,0.468,0.369,0.3796,0.468,0.39,0.468,0.468,0.468,0.381,0.369,0.369
Condition_1_prime_7,0.8076,0.6153,0.8613,0.6462,0.7745,0.7298,0.7732,1.0,0.7833,0.8076,0.8049,0.7196,0.5995,0.7326,0.5388,0.6438,0.6467,0.7191,0.6897,0.7196,0.7904,0.7226,0.4041,0.4041,0.4041,0.3171,0.4041,0.4041,0.4041,0.4041,0.3906,0.3043,0.4014,0.4494,0.4494,0.4494,0.3624,0.4494,0.4494,0.4494,0.4494,0.4494,0.4494,0.4494,0.5868,0.4869,0.5019,0.4807,0.5349,0.4969,0.5868,0.5511,0.5752,0.5338,0.5869,0.6121,0.4991,0.6068,0.4267,0.5514,0.5441,0.6118,0.6058,0.6561,0.6307,0.5693,0.7652,0.5994,0.7164,0.5397,0.6947,0.6685,0.7617,0.6647,0.67,0.7627,0.734,0.6413,0.5413,0.6119,0.5297,0.6293,0.5745,0.5658,0.6378,0.6632,0.6548,0.593,0.5446,0.3459,0.3579,0.5237,0.5446,0.4779,0.5495,0.5446,0.5446,0.4456,0.4456,0.4882,0.3893,0.2988,0.4882,0.4882,0.4882,0.4882,0.4882,0.4013,0.3684,0.3893
Condition_1_prime_8,0.922,0.6831,0.9219,0.742,0.8333,0.8335,0.8874,0.7833,1.0,0.922,0.9193,0.8179,0.6894,0.7825,0.6318,0.7366,0.745,0.8174,0.7966,0.8179,0.7969,0.8282,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.312,0.3072,0.2173,0.3106,0.4435,0.4435,0.4435,0.4435,0.4435,0.4131,0.4435,0.4435,0.4435,0.4131,0.4435,0.6744,0.5745,0.4969,0.6224,0.6223,0.5845,0.6744,0.7192,0.5607,0.6229,0.6747,0.703,0.5871,0.6388,0.5157,0.6404,0.635,0.7027,0.6387,0.8512,0.7245,0.6643,0.8393,0.7096,0.7976,0.6327,0.8213,0.7625,0.8393,0.7402,0.8344,0.8378,0.8323,0.7303,0.6303,0.7689,0.5881,0.718,0.6638,0.6597,0.673,0.8351,0.7451,0.686,0.5342,0.3382,0.4353,0.4124,0.5342,0.3937,0.5039,0.5342,0.5342,0.4068,0.4371,0.4767,0.3796,0.3763,0.4767,0.3987,0.4767,0.4767,0.4767,0.4767,0.3661,0.3796
Condition_1_prime_9,1.0,0.6904,0.9333,0.8087,0.9,0.9003,0.8927,0.8076,0.922,1.0,0.9973,0.8842,0.7561,0.82,0.6986,0.7908,0.7988,0.8841,0.8742,0.8842,0.8742,0.895,0.3586,0.3586,0.3586,0.2806,0.3586,0.3586,0.3586,0.3586,0.3559,0.2645,0.3578,0.4669,0.4669,0.4669,0.389,0.4669,0.4461,0.4669,0.4669,0.4669,0.4461,0.4669,0.7412,0.6412,0.5623,0.6224,0.6765,0.6512,0.7412,0.7192,0.6149,0.7009,0.7414,0.7697,0.6539,0.7037,0.5824,0.6946,0.6892,0.7694,0.7036,0.803,0.7906,0.7423,0.8522,0.7522,0.8218,0.6532,0.8455,0.8013,0.8522,0.7532,0.7715,0.8514,0.8495,0.7845,0.6845,0.7689,0.6298,0.7722,0.7055,0.7376,0.7397,0.8351,0.7993,0.7527,0.5577,0.3617,0.3808,0.4618,0.5577,0.4444,0.5369,0.5577,0.5577,0.4398,0.4606,0.5084,0.4113,0.3308,0.5084,0.4417,0.5084,0.5084,0.5084,0.4304,0.403,0.4113
