,C0,C0s,C1,C1s,C1_p1,C1_p1s,C1_p2,C1_p2s,C1_p3,C1_p3s,C1_p4,C1_p4s,C1_p5,C1_p5s,C1_p6,C1_p6s,C1_p7,C1_p7s,C1_p8,C1_p8s,C1_p9,C1_p9s,C1_p10,C1_p10s
gene_0,82,H,3.61,L,3.61,L,3.61,L,21.986,LM,3.61,L,3.61,L,3.61,L,3.61,L,36.806,M,3.61,L,72.873,MH
gene_1,89,H,60.869,M,60.869,M,60.869,M,60.869,M,70.621,MH,60.869,M,60.869,M,60.869,M,60.869,M,60.869,M,60.869,M
gene_2,92,H,26.75,LM,89.417,H,26.75,LM,26.75,LM,26.75,LM,26.75,LM,26.75,LM,73.696,MH,26.75,LM,26.75,LM,7.392,L
gene_3,99,H,93.223,H,93.223,H,72.989,MH,93.223,H,93.223,H,71.77,MH,93.223,H,93.223,H,93.223,H,93.223,H,93.223,H
gene_4,100,H,10.702,L,92.577,H,10.702,L,10.702,L,10.702,L,71.207,MH,10.702,L,10.702,L,20.798,LM,93.47,H,10.702,L
gene_5,90,H,78.546,MH,78.546,MH,78.546,MH,78.546,MH,78.546,MH,78.546,MH,78.546,MH,78.546,MH,78.546,MH,78.546,MH,78.546,MH
gene_6,98,H,46.054,M,46.054,M,46.054,M,46.054,M,46.054,M,46.054,M,46.054,M,96.101,H,46.054,M,46.054,M,46.054,M
gene_7,85,H,61.361,M,73.211,MH,61.361,M,61.361,M,6.547,L,61.361,M,61.361,M,61.361,M,61.361,M,61.361,M,16.481,L
gene_8,96,H,80.314,H,80.314,H,80.314,H,24.608,LM,80.314,H,50.549,M,80.314,H,80.314,H,70.821,MH,80.314,H,80.314,H
gene_9,91,H,66.713,M,66.713,M,66.713,M,66.713,M,22.214,LM,66.713,M,66.713,M,66.713,M,20.226,LM,66.713,M,66.713,M
gene_10,80,H,54.605,M,54.605,M,28.667,LM,54.605,M,90.913,H,54.605,M,80.41,H,54.605,M,54.605,M,54.605,M,54.605,M
gene_11,95,H,49.383,M,49.383,M,49.383,M,6.616,L,49.383,M,49.383,M,49.383,M,77.094,MH,49.383,M,49.383,M,49.383,M
gene_12,88,H,39.719,M,25.618,LM,39.719,M,39.719,M,39.719,M,23.569,LM,39.719,M,27.887,LM,16.214,L,39.719,M,39.719,M
gene_13,97,H,5.215,L,75.916,MH,5.215,L,5.215,L,5.215,L,5.215,L,5.215,L,89.052,H,5.215,L,5.215,L,5.215,L
gene_14,94,H,17.603,L,17.603,L,17.603,L,17.603,L,17.603,L,17.603,L,17.603,L,27.311,LM,17.603,L,21.454,LM,17.603,L
gene_15,80,H,88.964,H,88.964,H,88.964,H,88.964,H,88.964,H,88.964,H,88.964,H,88.964,H,23.364,LM,88.964,H,88.964,H
gene_16,90,H,47.537,M,47.537,M,47.537,M,47.537,M,47.537,M,47.537,M,47.537,M,47.537,M,47.537,M,47.537,M,47.537,M
gene_17,98,H,61.466,M,61.466,M,15.777,L,61.466,M,61.466,M,75.326,MH,61.466,M,61.466,M,61.466,M,61.466,M,72.904,MH
gene_18,85,H,67.362,M,67.362,M,67.362,M,67.362,M,67.362,M,77.86,MH,67.362,M,67.362,M,67.362,M,67.362,M,67.362,M
gene_19,86,H,98.471,H,98.471,H,98.471,H,98.471,H,98.471,H,98.471,H,98.471,H,98.471,H,98.471,H,98.471,H,98.471,H
gene_20,98,H,12.06,L,23.76,LM,22.183,LM,12.06,L,12.06,L,12.06,L,12.06,L,12.06,L,12.06,L,45.405,M,22.163,LM
gene_21,84,H,4.801,L,4.801,L,4.801,L,89.632,H,4.801,L,73.72,MH,4.801,L,22.642,LM,4.801,L,4.801,L,83.543,H
gene_22,91,H,26.961,LM,26.961,LM,38.3,M,26.961,LM,26.961,LM,26.961,LM,26.961,LM,26.961,LM,26.961,LM,26.961,LM,26.961,LM
gene_23,85,H,33.535,M,33.535,M,33.535,M,33.535,M,75.62,MH,33.535,M,33.535,M,33.535,M,33.535,M,33.535,M,33.535,M
gene_24,100,H,80.219,H,21.309,LM,39.547,M,80.219,H,80.219,H,80.219,H,80.219,H,3.639,L,80.219,H,80.219,H,80.219,H
gene_25,96,H,95.247,H,76.858,MH,95.247,H,95.247,H,27.39,LM,95.247,H,53.573,M,95.247,H,95.247,H,95.247,H,21.44,LM
gene_26,89,H,76.979,MH,76.979,MH,76.979,MH,85.04,H,76.979,MH,76.979,MH,76.979,MH,76.979,MH,84.321,H,89.365,H,24.73,LM
gene_27,81,H,45.181,M,45.181,M,45.181,M,45.181,M,1.093,L,86.122,H,45.181,M,45.181,M,45.181,M,8.466,L,45.181,M
gene_28,86,H,20.346,LM,71.232,MH,20.346,LM,20.346,LM,20.346,LM,37.484,M,82.112,H,16.185,L,93.821,H,70.623,MH,20.346,LM
gene_29,90,H,77.469,MH,77.469,MH,77.469,MH,77.469,MH,77.469,MH,77.469,MH,77.469,MH,77.469,MH,91.199,H,33.064,M,77.469,MH
gene_30,99,H,94.21,H,94.21,H,94.21,H,13.461,L,78.954,MH,94.21,H,73.384,MH,94.21,H,27.703,LM,2.071,L,6.905,L
gene_31,82,H,70.219,MH,70.219,MH,12.136,L,34.002,M,70.219,MH,26.21,LM,70.219,MH,70.219,MH,70.219,MH,70.219,MH,10.695,L
gene_32,91,H,74.695,MH,74.695,MH,74.695,MH,74.695,MH,74.695,MH,74.695,MH,9.326,L,74.695,MH,42.992,M,74.695,MH,74.695,MH
gene_33,94,H,91.318,H,91.318,H,72.385,MH,91.318,H,91.318,H,66.239,M,91.318,H,91.318,H,91.318,H,91.318,H,91.318,H
gene_34,91,H,70.04,MH,13.393,L,70.04,MH,70.04,MH,70.04,MH,25.75,LM,70.04,MH,70.04,MH,91.348,H,70.04,MH,70.04,MH
gene_35,97,H,82.216,H,74.475,MH,82.216,H,27.05,LM,82.216,H,82.216,H,82.216,H,40.225,M,82.216,H,82.216,H,82.216,H
gene_36,91,H,31.682,M,75.276,MH,31.682,M,31.682,M,78.514,MH,31.682,M,31.682,M,31.682,M,31.682,M,31.682,M,31.682,M
gene_37,100,H,16.056,L,16.056,L,16.056,L,16.056,L,16.056,L,16.056,L,92.611,H,16.056,L,16.056,L,66.849,M,16.056,L
gene_38,92,H,5.981,L,5.981,L,5.981,L,5.981,L,5.981,L,5.981,L,5.981,L,5.981,L,5.981,L,5.981,L,5.981,L
gene_39,92,H,18.702,L,72.845,MH,18.702,L,18.702,L,18.702,L,18.702,L,76.552,MH,18.702,L,18.702,L,18.702,L,18.702,L
gene_40,89,H,40.728,M,40.728,M,40.728,M,40.728,M,40.728,M,40.728,M,40.728,M,40.728,M,80.354,H,84.293,H,98.876,H
gene_41,92,H,53.231,M,53.231,M,53.231,M,53.231,M,53.231,M,53.231,M,53.231,M,53.231,M,53.231,M,53.231,M,53.231,M
gene_42,88,H,72.755,MH,72.755,MH,98.489,H,72.755,MH,72.755,MH,20.094,LM,72.755,MH,72.755,MH,72.755,MH,72.755,MH,72.755,MH
gene_43,92,H,82.508,H,82.508,H,82.508,H,70.878,MH,82.508,H,82.508,H,70.177,MH,82.508,H,82.508,H,82.508,H,82.508,H
gene_44,86,H,89.618,H,89.618,H,89.618,H,74.074,MH,89.618,H,89.618,H,89.618,H,77.217,MH,89.618,H,21.772,LM,89.618,H
gene_45,83,H,59.799,M,59.799,M,81.724,H,59.799,M,78.846,MH,59.799,M,59.799,M,59.799,M,72.301,MH,59.799,M,59.799,M
gene_46,83,H,96.475,H,96.475,H,96.475,H,96.475,H,16.115,L,96.475,H,72.412,MH,96.475,H,96.475,H,96.475,H,96.475,H
gene_47,92,H,91.099,H,63.698,M,91.099,H,91.099,H,91.099,H,91.099,H,91.099,H,91.099,H,91.099,H,91.099,H,91.099,H
gene_48,93,H,54.618,M,54.618,M,54.618,M,54.618,M,54.618,M,54.618,M,54.618,M,54.618,M,54.618,M,27.662,LM,54.618,M
gene_49,90,H,6.549,L,6.549,L,63.516,M,6.549,L,6.549,L,75.136,MH,6.549,L,6.549,L,6.549,L,6.549,L,91.634,H
gene_50,81,H,33.229,M,33.229,M,33.229,M,33.229,M,11.714,L,33.229,M,33.229,M,25.959,LM,33.229,M,33.229,M,33.229,M
gene_51,95,H,61.719,M,61.719,M,61.719,M,61.719,M,61.719,M,6.499,L,76.538,MH,61.719,M,61.719,M,61.719,M,61.719,M
gene_52,98,H,85.219,H,85.219,H,85.219,H,23.018,LM,22.663,LM,85.219,H,85.219,H,85.219,H,85.219,H,85.219,H,85.219,H
gene_53,99,H,39.901,M,39.901,M,39.901,M,73.27,MH,39.901,M,14.064,L,39.901,M,74.046,MH,39.901,M,39.901,M,39.901,M
gene_54,97,H,98.71,H,98.71,H,98.71,H,98.71,H,98.71,H,98.71,H,98.71,H,71.821,MH,98.71,H,10.115,L,4.582,L
gene_55,98,H,2.949,L,2.949,L,2.949,L,55.918,M,2.949,L,2.949,L,2.949,L,2.949,L,2.949,L,47.877,M,2.949,L
gene_56,99,H,10.502,L,10.502,L,10.502,L,10.502,L,10.502,L,10.502,L,88.853,H,10.502,L,10.502,L,10.502,L,10.502,L
gene_57,91,H,91.71,H,20.952,LM,91.71,H,91.71,H,91.71,H,35.163,M,91.71,H,74.382,MH,91.71,H,91.71,H,91.71,H
gene_58,88,H,31.318,M,31.318,M,31.318,M,21.457,LM,31.318,M,31.318,M,31.318,M,26.952,LM,31.318,M,31.318,M,31.318,M
gene_59,94,H,61.894,M,74.175,MH,94.341,H,61.894,M,61.894,M,61.894,M,61.894,M,85.55,H,61.894,M,61.894,M,95.102,H
gene_60,85,H,92.968,H,92.968,H,92.968,H,92.968,H,92.968,H,92.968,H,92.968,H,92.968,H,92.968,H,92.968,H,92.968,H
gene_61,97,H,72.148,MH,72.148,MH,72.148,MH,59.457,M,72.148,MH,59.145,M,41.619,M,20.351,LM,72.148,MH,41.924,M,83.71,H
gene_62,97,H,71.435,MH,82.261,H,71.435,MH,71.435,MH,71.435,MH,71.435,MH,71.435,MH,71.435,MH,71.435,MH,71.435,MH,71.435,MH
gene_63,98,H,75.897,MH,75.897,MH,75.897,MH,9.775,L,75.897,MH,8.033,L,75.897,MH,75.897,MH,75.897,MH,75.897,MH,75.897,MH
gene_64,92,H,75.003,MH,53.693,M,75.003,MH,75.003,MH,75.003,MH,99.226,H,75.003,MH,86.708,H,28.122,LM,75.003,MH,75.003,MH
gene_65,99,H,62.003,M,70.737,MH,12.391,L,62.003,M,62.003,M,62.003,M,62.003,M,62.003,M,62.003,M,62.003,M,62.003,M
gene_66,92,H,77.317,MH,77.317,MH,93.077,H,77.317,MH,77.317,MH,77.317,MH,77.317,MH,77.317,MH,77.317,MH,77.317,MH,7.591,L
gene_67,89,H,88.555,H,88.555,H,88.555,H,88.555,H,88.555,H,60.581,M,5.628,L,72.46,MH,78.744,MH,88.555,H,21.56,LM
gene_68,93,H,74.064,MH,74.064,MH,74.064,MH,74.064,MH,74.064,MH,74.064,MH,74.064,MH,28.969,LM,38.977,M,23.775,LM,74.064,MH
gene_69,100,H,24.612,LM,24.612,LM,77.771,MH,24.612,LM,24.612,LM,24.612,LM,24.612,LM,24.612,LM,24.612,LM,24.612,LM,24.612,LM
gene_70,99,H,16.368,L,16.368,L,93.558,H,16.368,L,16.368,L,16.368,L,16.368,L,16.368,L,24.342,LM,93.691,H,16.368,L
gene_71,96,H,86.338,H,24.78,LM,86.338,H,86.338,H,86.338,H,86.338,H,86.338,H,86.338,H,18.705,L,86.338,H,13.767,L
gene_72,81,H,94.675,H,94.675,H,94.675,H,21.088,LM,94.675,H,94.675,H,94.675,H,94.675,H,94.675,H,94.675,H,94.675,H
gene_73,92,H,97.719,H,75.64,MH,97.719,H,97.719,H,14.321,L,97.719,H,97.719,H,97.719,H,72.252,MH,97.719,H,97.719,H
gene_74,90,H,88.277,H,88.277,H,88.277,H,75.59,MH,48.593,M,88.277,H,24.785,LM,88.277,H,88.277,H,88.277,H,13.45,L
gene_75,93,H,86.225,H,86.225,H,86.225,H,86.225,H,86.225,H,86.225,H,86.225,H,22.294,LM,86.225,H,86.225,H,86.225,H
gene_76,97,H,70.47,MH,21.595,LM,70.47,MH,70.47,MH,70.47,MH,70.47,MH,13.983,L,70.47,MH,70.47,MH,70.47,MH,34.438,M
gene_77,85,H,57.743,M,57.743,M,57.743,M,71.355,MH,57.743,M,57.743,M,24.669,LM,14.693,L,57.743,M,57.743,M,57.743,M
gene_78,95,H,77.517,MH,77.517,MH,54.604,M,49.305,M,77.517,MH,0.037,L,35.578,M,77.517,MH,35.631,M,77.517,MH,77.517,MH
gene_79,82,H,81.08,H,81.08,H,50.113,M,81.08,H,71.159,MH,7.064,L,71.627,MH,16.476,L,81.08,H,71.82,MH,74.997,MH
gene_80,84,H,78.117,MH,78.117,MH,78.117,MH,78.117,MH,0.796,L,78.117,MH,78.117,MH,78.117,MH,78.117,MH,46.313,M,78.117,MH
gene_81,96,H,56.22,M,23.218,LM,56.22,M,56.22,M,56.22,M,56.22,M,56.22,M,56.22,M,56.22,M,56.22,M,56.22,M
