,Condition_0,Condition_1,Condition_1_state,Condition_1_prime1,Condition_1_primestate1,Condition_2,Condition_2_state,Condition_2_prime1,Condition_2_primestate1,Condition_2_prime2,Condition_2_primestate2,Condition_2_prime3,Condition_2_primestate3,Condition_2_prime4,Condition_2_primestate4,Condition_2_prime5,Condition_2_primestate5,Condition_2_prime6,Condition_2_primestate6,Condition_2_prime7,Condition_2_primestate7,Condition_2_prime8,Condition_2_primestate8,Condition_2_prime9,Condition_2_primestate9,Condition_2_prime10,Condition_2_primestate10,Condition_3,Condition_3_state,Condition_3_prime1,Condition_3_primestate1,Condition_3_prime2,Condition_3_primestate2,Condition_3_prime3,Condition_3_primestate3,Condition_3_prime4,Condition_3_primestate4,Condition_3_prime5,Condition_3_primestate5,Condition_3_prime6,Condition_3_primestate6,Condition_3_prime7,Condition_3_primestate7,Condition_3_prime8,Condition_3_primestate8,Condition_3_prime9,Condition_3_primestate9,Condition_3_prime10,Condition_3_primestate10,Condition_4,Condition_4_state,Condition_4_prime1,Condition_4_primestate1,Condition_4_prime2,Condition_4_primestate2,Condition_4_prime3,Condition_4_primestate3,Condition_4_prime4,Condition_4_primestate4,Condition_4_prime5,Condition_4_primestate5,Condition_4_prime6,Condition_4_primestate6,Condition_4_prime7,Condition_4_primestate7,Condition_4_prime8,Condition_4_primestate8,Condition_4_prime9,Condition_4_primestate9,Condition_4_prime10,Condition_4_primestate10,Condition_5,Condition_5_state,Condition_5_prime1,Condition_5_primestate1,Condition_5_prime2,Condition_5_primestate2,Condition_5_prime3,Condition_5_primestate3,Condition_5_prime4,Condition_5_primestate4,Condition_5_prime5,Condition_5_primestate5,Condition_5_prime6,Condition_5_primestate6,Condition_5_prime7,Condition_5_primestate7,Condition_5_prime8,Condition_5_primestate8,Condition_5_prime9,Condition_5_primestate9,Condition_5_prime10,Condition_5_primestate10,Condition_6,Condition_6_state,Condition_6_prime1,Condition_6_primestate1,Condition_6_prime2,Condition_6_primestate2,Condition_6_prime3,Condition_6_primestate3,Condition_6_prime4,Condition_6_primestate4,Condition_6_prime5,Condition_6_primestate5,Condition_6_prime6,Condition_6_primestate6,Condition_6_prime7,Condition_6_primestate7,Condition_6_prime8,Condition_6_primestate8,Condition_6_prime9,Condition_6_primestate9,Condition_6_prime10,Condition_6_primestate10,Condition_7,Condition_7_state,Condition_7_prime1,Condition_7_primestate1,Condition_7_prime2,Condition_7_primestate2,Condition_7_prime3,Condition_7_primestate3,Condition_7_prime4,Condition_7_primestate4,Condition_7_prime5,Condition_7_primestate5,Condition_7_prime6,Condition_7_primestate6,Condition_7_prime7,Condition_7_primestate7,Condition_7_prime8,Condition_7_primestate8,Condition_7_prime9,Condition_7_primestate9,Condition_7_prime10,Condition_7_primestate10,Condition_8,Condition_8_state,Condition_8_prime1,Condition_8_primestate1,Condition_8_prime2,Condition_8_primestate2,Condition_8_prime3,Condition_8_primestate3,Condition_8_prime4,Condition_8_primestate4,Condition_8_prime5,Condition_8_primestate5,Condition_8_prime6,Condition_8_primestate6,Condition_8_prime7,Condition_8_primestate7,Condition_8_prime8,Condition_8_primestate8,Condition_8_prime9,Condition_8_primestate9,Condition_8_prime10,Condition_8_primestate10,Condition_9,Condition_9_state,Condition_9_prime1,Condition_9_primestate1,Condition_9_prime2,Condition_9_primestate2,Condition_9_prime3,Condition_9_primestate3,Condition_9_prime4,Condition_9_primestate4,Condition_9_prime5,Condition_9_primestate5,Condition_9_prime6,Condition_9_primestate6,Condition_9_prime7,Condition_9_primestate7,Condition_9_prime8,Condition_9_primestate8,Condition_9_prime9,Condition_9_primestate9,Condition_9_prime10,Condition_9_primestate10,Condition_10,Condition_10_state,Condition_10_prime1,Condition_10_primestate1,Condition_10_prime2,Condition_10_primestate2,Condition_10_prime3,Condition_10_primestate3,Condition_10_prime4,Condition_10_primestate4,Condition_10_prime5,Condition_10_primestate5,Condition_10_prime6,Condition_10_primestate6,Condition_10_prime7,Condition_10_primestate7,Condition_10_prime8,Condition_10_primestate8,Condition_10_prime9,Condition_10_primestate9,Condition_10_prime10,Condition_10_primestate10,Condition_11,Condition_11_state,Condition_11_prime1,Condition_11_primestate1,Condition_11_prime2,Condition_11_primestate2,Condition_11_prime3,Condition_11_primestate3,Condition_11_prime4,Condition_11_primestate4,Condition_11_prime5,Condition_11_primestate5,Condition_11_prime6,Condition_11_primestate6,Condition_11_prime7,Condition_11_primestate7,Condition_11_prime8,Condition_11_primestate8,Condition_11_prime9,Condition_11_primestate9,Condition_11_prime10,Condition_11_primestate10
gene_0,82,77.62690363243509,MH,77.62690363243509,MH,18.008722254127637,L,18.008722254127637,L,18.008722254127637,L,18.008722254127637,L,18.008722254127637,L,18.008722254127637,L,18.008722254127637,L,18.008722254127637,L,18.008722254127637,L,18.008722254127637,L,18.008722254127637,L,74.89806302766357,MH,74.89806302766357,MH,74.89806302766357,MH,74.89806302766357,MH,74.89806302766357,MH,74.89806302766357,MH,74.89806302766357,MH,74.89806302766357,MH,74.89806302766357,MH,74.89806302766357,MH,92.08274393688227,H,82.06332068461431,H,82.06332068461431,H,82.06332068461431,H,82.06332068461431,H,82.06332068461431,H,82.06332068461431,H,82.06332068461431,H,82.06332068461431,H,82.06332068461431,H,82.06332068461431,H,82.06332068461431,H,26.676082903346565,LM,26.676082903346565,LM,26.676082903346565,LM,26.676082903346565,LM,26.676082903346565,LM,26.676082903346565,LM,26.676082903346565,LM,26.676082903346565,LM,26.676082903346565,LM,26.676082903346565,LM,26.676082903346565,LM,27.39758638087754,LM,27.39758638087754,LM,27.39758638087754,LM,27.39758638087754,LM,27.39758638087754,LM,27.39758638087754,LM,27.39758638087754,LM,27.39758638087754,LM,27.39758638087754,LM,27.39758638087754,LM,27.39758638087754,LM,35.883117783055575,M,35.883117783055575,M,35.883117783055575,M,35.883117783055575,M,35.883117783055575,M,35.883117783055575,M,35.883117783055575,M,35.883117783055575,M,35.883117783055575,M,35.883117783055575,M,35.883117783055575,M,99.24590071668766,H,99.24590071668766,H,99.24590071668766,H,99.24590071668766,H,99.24590071668766,H,99.24590071668766,H,99.24590071668766,H,99.24590071668766,H,99.24590071668766,H,99.24590071668766,H,99.24590071668766,H,44.55916532440664,M,44.55916532440664,M,44.55916532440664,M,44.55916532440664,M,44.55916532440664,M,44.55916532440664,M,44.55916532440664,M,44.55916532440664,M,44.55916532440664,M,44.55916532440664,M,44.55916532440664,M,23.86000149207603,LM,23.86000149207603,LM,23.86000149207603,LM,23.86000149207603,LM,23.86000149207603,LM,23.86000149207603,LM,23.86000149207603,LM,23.86000149207603,LM,23.86000149207603,LM,23.86000149207603,LM,23.86000149207603,LM,75.03795147472447,MH,75.03795147472447,MH,75.03795147472447,MH,75.03795147472447,MH,75.03795147472447,MH,75.03795147472447,MH,75.03795147472447,MH,75.03795147472447,MH,75.03795147472447,MH,75.03795147472447,MH,75.03795147472447,MH
gene_1,97,4.846311489049012,L,4.846311489049012,L,81.69743990317843,H,81.69743990317843,H,81.69743990317843,H,81.69743990317843,H,81.69743990317843,H,81.69743990317843,H,81.69743990317843,H,81.69743990317843,H,81.69743990317843,H,81.69743990317843,H,81.69743990317843,H,53.552881505251584,M,53.552881505251584,M,53.552881505251584,M,53.552881505251584,M,53.552881505251584,M,53.552881505251584,M,53.552881505251584,M,53.552881505251584,M,53.552881505251584,M,53.552881505251584,M,53.552881505251584,M,71.39475043722169,MH,71.39475043722169,MH,71.39475043722169,MH,71.39475043722169,MH,71.39475043722169,MH,71.39475043722169,MH,71.39475043722169,MH,71.39475043722169,MH,71.39475043722169,MH,71.39475043722169,MH,71.39475043722169,MH,17.906555391763955,L,20.011846356748666,LM,17.906555391763955,L,17.906555391763955,L,17.906555391763955,L,17.906555391763955,L,17.906555391763955,L,17.906555391763955,L,78.49604137387716,MH,17.906555391763955,L,17.906555391763955,L,40.20323783484166,M,40.20323783484166,M,40.20323783484166,M,40.20323783484166,M,40.20323783484166,M,40.20323783484166,M,14.358951231352076,L,40.20323783484166,M,40.20323783484166,M,40.20323783484166,M,40.20323783484166,M,20.651926580007885,LM,20.651926580007885,LM,20.651926580007885,LM,20.651926580007885,LM,20.651926580007885,LM,20.651926580007885,LM,74.44735535564146,MH,20.651926580007885,LM,20.651926580007885,LM,20.651926580007885,LM,20.651926580007885,LM,94.09633845743215,H,94.09633845743215,H,94.09633845743215,H,94.09633845743215,H,94.09633845743215,H,94.09633845743215,H,94.09633845743215,H,94.09633845743215,H,94.09633845743215,H,94.09633845743215,H,94.09633845743215,H,97.33123699972683,H,97.33123699972683,H,97.33123699972683,H,97.33123699972683,H,97.33123699972683,H,97.33123699972683,H,97.33123699972683,H,97.33123699972683,H,97.33123699972683,H,97.33123699972683,H,97.33123699972683,H,21.854884089255517,LM,21.854884089255517,LM,21.854884089255517,LM,21.854884089255517,LM,21.854884089255517,LM,21.854884089255517,LM,21.854884089255517,LM,21.854884089255517,LM,21.854884089255517,LM,21.854884089255517,LM,21.854884089255517,LM,8.847351331895693,L,8.847351331895693,L,8.847351331895693,L,8.847351331895693,L,8.847351331895693,L,8.847351331895693,L,8.847351331895693,L,8.847351331895693,L,8.847351331895693,L,96.08319653214633,H,8.847351331895693,L
gene_2,96,24.045419583098642,LM,24.045419583098642,LM,26.62372990161671,LM,26.62372990161671,LM,26.62372990161671,LM,26.62372990161671,LM,26.62372990161671,LM,26.62372990161671,LM,64.1605546946814,M,26.62372990161671,LM,26.62372990161671,LM,26.62372990161671,LM,26.62372990161671,LM,32.55562551035271,M,32.55562551035271,M,32.55562551035271,M,32.55562551035271,M,32.55562551035271,M,78.3365088215354,MH,32.55562551035271,M,32.55562551035271,M,32.55562551035271,M,32.55562551035271,M,32.55562551035271,M,88.0318202897015,H,88.0318202897015,H,88.0318202897015,H,88.0318202897015,H,88.0318202897015,H,88.0318202897015,H,88.0318202897015,H,88.0318202897015,H,3.913653890442991,L,88.0318202897015,H,88.0318202897015,H,17.524174936642922,L,17.524174936642922,L,17.524174936642922,L,17.524174936642922,L,17.524174936642922,L,17.524174936642922,L,17.524174936642922,L,17.524174936642922,L,17.524174936642922,L,17.524174936642922,L,17.524174936642922,L,93.25637125767535,H,93.25637125767535,H,93.25637125767535,H,93.25637125767535,H,93.25637125767535,H,93.25637125767535,H,93.25637125767535,H,93.25637125767535,H,93.25637125767535,H,93.25637125767535,H,93.25637125767535,H,44.261867759590835,M,44.261867759590835,M,44.261867759590835,M,44.261867759590835,M,44.261867759590835,M,0.47524646832079,L,85.17836054647269,H,11.72524223612975,L,44.261867759590835,M,44.261867759590835,M,10.147942565568425,L,84.9488196985817,H,84.9488196985817,H,84.9488196985817,H,84.9488196985817,H,84.9488196985817,H,84.9488196985817,H,84.9488196985817,H,84.9488196985817,H,84.9488196985817,H,84.9488196985817,H,84.9488196985817,H,90.05564160104417,H,90.05564160104417,H,90.05564160104417,H,90.05564160104417,H,90.05564160104417,H,90.05564160104417,H,90.05564160104417,H,90.05564160104417,H,90.05564160104417,H,90.05564160104417,H,90.05564160104417,H,15.648188578135464,L,15.648188578135464,L,15.648188578135464,L,15.648188578135464,L,15.648188578135464,L,15.648188578135464,L,15.648188578135464,L,15.648188578135464,L,15.648188578135464,L,15.648188578135464,L,15.648188578135464,L,75.28646345964907,MH,75.28646345964907,MH,75.28646345964907,MH,75.28646345964907,MH,11.207818586784816,L,75.28646345964907,MH,75.28646345964907,MH,75.28646345964907,MH,75.28646345964907,MH,75.28646345964907,MH,75.28646345964907,MH
gene_3,85,27.098510160219618,LM,27.098510160219618,LM,42.017321845976625,M,42.017321845976625,M,42.017321845976625,M,42.017321845976625,M,42.017321845976625,M,42.017321845976625,M,42.017321845976625,M,42.017321845976625,M,42.017321845976625,M,42.017321845976625,M,42.017321845976625,M,96.7493816419292,H,11.995856032742685,L,96.7493816419292,H,96.7493816419292,H,6.520092109721418,L,96.7493816419292,H,96.7493816419292,H,96.7493816419292,H,96.7493816419292,H,96.7493816419292,H,96.7493816419292,H,27.204071163462277,LM,27.204071163462277,LM,27.204071163462277,LM,27.204071163462277,LM,27.204071163462277,LM,27.204071163462277,LM,27.204071163462277,LM,27.204071163462277,LM,27.204071163462277,LM,27.204071163462277,LM,89.52514063238013,H,89.3124530875621,H,89.3124530875621,H,89.3124530875621,H,89.3124530875621,H,89.3124530875621,H,89.3124530875621,H,89.3124530875621,H,89.3124530875621,H,89.3124530875621,H,89.3124530875621,H,89.3124530875621,H,59.62949476881783,M,59.62949476881783,M,59.62949476881783,M,59.62949476881783,M,59.62949476881783,M,59.62949476881783,M,59.62949476881783,M,59.62949476881783,M,59.62949476881783,M,59.62949476881783,M,59.62949476881783,M,90.14871466378841,H,90.14871466378841,H,90.14871466378841,H,90.14871466378841,H,90.14871466378841,H,90.14871466378841,H,90.14871466378841,H,90.14871466378841,H,90.14871466378841,H,90.14871466378841,H,90.14871466378841,H,3.9785550058893433,L,3.9785550058893433,L,3.9785550058893433,L,3.9785550058893433,L,3.9785550058893433,L,3.9785550058893433,L,3.9785550058893433,L,3.9785550058893433,L,3.9785550058893433,L,3.9785550058893433,L,3.9785550058893433,L,1.5354782964770193,L,1.5354782964770193,L,1.5354782964770193,L,1.5354782964770193,L,1.5354782964770193,L,1.5354782964770193,L,1.5354782964770193,L,1.5354782964770193,L,1.5354782964770193,L,1.5354782964770193,L,87.78026502610663,H,21.44206600866938,LM,21.44206600866938,LM,21.44206600866938,LM,21.44206600866938,LM,21.44206600866938,LM,21.44206600866938,LM,60.07974238019575,M,21.44206600866938,LM,21.44206600866938,LM,21.44206600866938,LM,21.44206600866938,LM,90.23817278083611,H,90.23817278083611,H,90.23817278083611,H,90.23817278083611,H,90.23817278083611,H,26.364338355655953,LM,90.23817278083611,H,90.23817278083611,H,90.23817278083611,H,90.23817278083611,H,90.23817278083611,H
gene_4,90,70.25512728869806,MH,70.25512728869806,MH,53.665267611992675,M,53.665267611992675,M,53.665267611992675,M,53.665267611992675,M,53.665267611992675,M,53.665267611992675,M,53.665267611992675,M,53.665267611992675,M,53.665267611992675,M,53.665267611992675,M,53.665267611992675,M,72.10897864942027,MH,72.10897864942027,MH,72.10897864942027,MH,72.10897864942027,MH,72.10897864942027,MH,72.10897864942027,MH,72.10897864942027,MH,72.10897864942027,MH,72.10897864942027,MH,72.10897864942027,MH,72.10897864942027,MH,21.99735358121286,LM,21.99735358121286,LM,21.99735358121286,LM,21.99735358121286,LM,21.99735358121286,LM,21.99735358121286,LM,21.99735358121286,LM,21.99735358121286,LM,21.99735358121286,LM,21.99735358121286,LM,21.99735358121286,LM,12.33051650960156,L,12.33051650960156,L,12.33051650960156,L,31.929938992400007,M,12.33051650960156,L,12.33051650960156,L,12.33051650960156,L,12.33051650960156,L,12.33051650960156,L,12.33051650960156,L,12.33051650960156,L,60.03545360158162,M,60.03545360158162,M,60.03545360158162,M,60.03545360158162,M,60.03545360158162,M,26.390842267587622,LM,60.03545360158162,M,8.437641530559056,L,60.03545360158162,M,60.03545360158162,M,60.03545360158162,M,88.67291367324772,H,88.67291367324772,H,88.67291367324772,H,88.67291367324772,H,88.67291367324772,H,88.67291367324772,H,88.67291367324772,H,22.337013025838942,LM,88.67291367324772,H,88.67291367324772,H,88.67291367324772,H,24.13220386495157,LM,24.13220386495157,LM,4.886704495662704,L,24.13220386495157,LM,24.13220386495157,LM,24.13220386495157,LM,24.13220386495157,LM,99.66962093592858,H,24.13220386495157,LM,24.13220386495157,LM,24.13220386495157,LM,25.549850384152567,LM,25.549850384152567,LM,25.549850384152567,LM,25.549850384152567,LM,25.549850384152567,LM,6.152688405850786,L,25.549850384152567,LM,25.549850384152567,LM,25.549850384152567,LM,25.549850384152567,LM,25.549850384152567,LM,42.783139653261635,M,42.783139653261635,M,42.783139653261635,M,42.783139653261635,M,27.30950324307955,LM,42.783139653261635,M,42.783139653261635,M,42.783139653261635,M,42.783139653261635,M,42.783139653261635,M,42.783139653261635,M,27.136791852679572,LM,27.136791852679572,LM,15.061900607110408,L,27.136791852679572,LM,27.136791852679572,LM,70.1833587880025,MH,27.136791852679572,LM,27.136791852679572,LM,27.136791852679572,LM,27.136791852679572,LM,27.136791852679572,LM
gene_5,89,8.222574290196015,L,8.222574290196015,L,36.17693193993742,M,36.17693193993742,M,36.17693193993742,M,36.17693193993742,M,36.17693193993742,M,36.17693193993742,M,36.17693193993742,M,36.17693193993742,M,36.17693193993742,M,36.17693193993742,M,36.17693193993742,M,8.935006642926512,L,8.935006642926512,L,8.935006642926512,L,8.935006642926512,L,8.935006642926512,L,8.935006642926512,L,8.935006642926512,L,8.935006642926512,L,8.935006642926512,L,8.935006642926512,L,8.935006642926512,L,40.790623094216556,M,40.790623094216556,M,40.790623094216556,M,40.790623094216556,M,40.790623094216556,M,40.790623094216556,M,40.790623094216556,M,40.790623094216556,M,15.015105446815474,L,40.790623094216556,M,40.790623094216556,M,2.150913328409743,L,2.150913328409743,L,2.150913328409743,L,2.150913328409743,L,2.150913328409743,L,2.150913328409743,L,2.150913328409743,L,2.150913328409743,L,2.150913328409743,L,2.150913328409743,L,2.150913328409743,L,77.21723934846344,MH,77.21723934846344,MH,77.21723934846344,MH,77.21723934846344,MH,77.21723934846344,MH,77.21723934846344,MH,77.21723934846344,MH,77.21723934846344,MH,77.21723934846344,MH,77.21723934846344,MH,77.21723934846344,MH,81.8142602668773,H,81.8142602668773,H,81.8142602668773,H,81.8142602668773,H,81.8142602668773,H,81.8142602668773,H,81.8142602668773,H,72.7895179384341,MH,81.8142602668773,H,81.8142602668773,H,81.8142602668773,H,74.4548442450026,MH,74.4548442450026,MH,74.4548442450026,MH,74.4548442450026,MH,74.4548442450026,MH,74.4548442450026,MH,74.4548442450026,MH,74.4548442450026,MH,74.4548442450026,MH,74.4548442450026,MH,74.4548442450026,MH,87.58039208790872,H,87.58039208790872,H,87.58039208790872,H,87.58039208790872,H,87.58039208790872,H,87.58039208790872,H,87.58039208790872,H,87.58039208790872,H,87.58039208790872,H,87.58039208790872,H,87.58039208790872,H,78.57535218231321,MH,78.57535218231321,MH,78.57535218231321,MH,78.57535218231321,MH,78.57535218231321,MH,78.57535218231321,MH,78.57535218231321,MH,78.57535218231321,MH,78.57535218231321,MH,78.57535218231321,MH,78.57535218231321,MH,86.06802525249051,H,86.06802525249051,H,86.06802525249051,H,86.06802525249051,H,86.06802525249051,H,86.06802525249051,H,86.06802525249051,H,86.06802525249051,H,86.06802525249051,H,86.06802525249051,H,86.06802525249051,H
gene_6,93,0.04001501367110316,L,0.04001501367110316,L,73.54178638184834,MH,73.54178638184834,MH,73.54178638184834,MH,73.54178638184834,MH,73.54178638184834,MH,73.54178638184834,MH,73.54178638184834,MH,73.54178638184834,MH,73.54178638184834,MH,73.54178638184834,MH,73.54178638184834,MH,24.287178878294014,LM,24.287178878294014,LM,24.287178878294014,LM,24.287178878294014,LM,24.287178878294014,LM,24.287178878294014,LM,24.287178878294014,LM,24.287178878294014,LM,24.287178878294014,LM,24.287178878294014,LM,24.287178878294014,LM,82.12366584863061,H,82.12366584863061,H,82.12366584863061,H,82.12366584863061,H,82.12366584863061,H,82.12366584863061,H,82.12366584863061,H,82.12366584863061,H,82.12366584863061,H,82.12366584863061,H,82.12366584863061,H,39.616340472173384,M,39.616340472173384,M,39.616340472173384,M,39.616340472173384,M,39.616340472173384,M,39.616340472173384,M,39.616340472173384,M,39.616340472173384,M,39.616340472173384,M,39.616340472173384,M,39.616340472173384,M,23.72605797048773,LM,23.72605797048773,LM,23.72605797048773,LM,23.72605797048773,LM,23.72605797048773,LM,23.72605797048773,LM,23.72605797048773,LM,23.72605797048773,LM,23.72605797048773,LM,23.72605797048773,LM,23.72605797048773,LM,62.247232862209486,M,62.247232862209486,M,62.247232862209486,M,62.247232862209486,M,62.247232862209486,M,62.247232862209486,M,62.247232862209486,M,62.247232862209486,M,62.247232862209486,M,62.247232862209486,M,62.247232862209486,M,96.61042547265943,H,96.61042547265943,H,96.61042547265943,H,96.61042547265943,H,96.61042547265943,H,96.61042547265943,H,96.61042547265943,H,96.61042547265943,H,96.61042547265943,H,96.61042547265943,H,96.61042547265943,H,8.58839748855049,L,8.58839748855049,L,8.58839748855049,L,8.58839748855049,L,8.58839748855049,L,8.58839748855049,L,8.58839748855049,L,8.58839748855049,L,8.58839748855049,L,8.58839748855049,L,8.58839748855049,L,0.8465712665582276,L,0.8465712665582276,L,0.8465712665582276,L,0.8465712665582276,L,0.8465712665582276,L,0.8465712665582276,L,0.8465712665582276,L,0.8465712665582276,L,28.259646505554635,LM,0.8465712665582276,L,0.8465712665582276,L,96.19289068734355,H,96.19289068734355,H,96.19289068734355,H,96.19289068734355,H,96.19289068734355,H,96.19289068734355,H,96.19289068734355,H,96.19289068734355,H,96.19289068734355,H,96.19289068734355,H,96.19289068734355,H
gene_7,96,26.493860291067044,LM,26.493860291067044,LM,68.79796295503996,M,68.79796295503996,M,68.79796295503996,M,68.79796295503996,M,68.79796295503996,M,68.79796295503996,M,68.79796295503996,M,68.79796295503996,M,68.79796295503996,M,68.79796295503996,M,68.79796295503996,M,35.874040536917434,M,35.874040536917434,M,35.874040536917434,M,35.874040536917434,M,35.874040536917434,M,35.874040536917434,M,35.874040536917434,M,35.874040536917434,M,35.874040536917434,M,35.874040536917434,M,35.874040536917434,M,98.54951262856122,H,98.54951262856122,H,98.54951262856122,H,98.54951262856122,H,98.54951262856122,H,98.54951262856122,H,98.54951262856122,H,98.54951262856122,H,98.54951262856122,H,98.54951262856122,H,98.54951262856122,H,52.38370632919593,M,52.38370632919593,M,52.38370632919593,M,52.38370632919593,M,52.38370632919593,M,52.38370632919593,M,52.38370632919593,M,52.38370632919593,M,52.38370632919593,M,52.38370632919593,M,52.38370632919593,M,56.60001791025846,M,56.60001791025846,M,56.60001791025846,M,56.60001791025846,M,76.42376713492824,MH,56.60001791025846,M,56.60001791025846,M,56.60001791025846,M,56.60001791025846,M,56.60001791025846,M,56.60001791025846,M,72.00915068146313,MH,72.00915068146313,MH,72.00915068146313,MH,72.00915068146313,MH,72.00915068146313,MH,72.00915068146313,MH,72.00915068146313,MH,72.00915068146313,MH,72.00915068146313,MH,72.00915068146313,MH,72.00915068146313,MH,84.68365918979411,H,84.68365918979411,H,74.2437958952383,MH,84.68365918979411,H,16.874355738115767,L,84.68365918979411,H,84.68365918979411,H,84.68365918979411,H,84.68365918979411,H,84.68365918979411,H,84.68365918979411,H,2.9859860703358914,L,2.9859860703358914,L,2.9859860703358914,L,2.9859860703358914,L,2.9859860703358914,L,2.9859860703358914,L,2.9859860703358914,L,2.9859860703358914,L,2.9859860703358914,L,2.9859860703358914,L,2.9859860703358914,L,11.460621608395517,L,11.460621608395517,L,97.86298987416447,H,11.460621608395517,L,11.460621608395517,L,11.460621608395517,L,11.460621608395517,L,11.460621608395517,L,11.460621608395517,L,11.460621608395517,L,11.460621608395517,L,20.376923027328615,LM,20.376923027328615,LM,20.376923027328615,LM,20.376923027328615,LM,20.376923027328615,LM,20.376923027328615,LM,20.376923027328615,LM,20.376923027328615,LM,20.376923027328615,LM,20.376923027328615,LM,20.376923027328615,LM
gene_8,81,66.86555712660297,M,66.86555712660297,M,10.339363901157096,L,10.339363901157096,L,10.339363901157096,L,10.339363901157096,L,10.339363901157096,L,10.339363901157096,L,10.339363901157096,L,10.339363901157096,L,10.339363901157096,L,10.339363901157096,L,10.339363901157096,L,63.853766978588574,M,63.853766978588574,M,63.853766978588574,M,63.853766978588574,M,63.853766978588574,M,63.853766978588574,M,63.853766978588574,M,63.853766978588574,M,63.853766978588574,M,73.30719054756396,MH,63.853766978588574,M,27.25987112032091,LM,27.25987112032091,LM,27.25987112032091,LM,27.25987112032091,LM,27.25987112032091,LM,27.25987112032091,LM,27.25987112032091,LM,27.25987112032091,LM,27.25987112032091,LM,27.25987112032091,LM,27.25987112032091,LM,84.33459600927696,H,84.33459600927696,H,84.33459600927696,H,64.53160829869084,M,84.33459600927696,H,84.33459600927696,H,84.33459600927696,H,84.33459600927696,H,84.33459600927696,H,84.33459600927696,H,84.33459600927696,H,91.07230330996569,H,91.07230330996569,H,91.07230330996569,H,91.07230330996569,H,91.07230330996569,H,91.07230330996569,H,91.07230330996569,H,28.06041113275488,LM,91.07230330996569,H,91.07230330996569,H,91.07230330996569,H,28.52938048211305,LM,28.52938048211305,LM,28.52938048211305,LM,28.52938048211305,LM,28.52938048211305,LM,28.52938048211305,LM,28.52938048211305,LM,28.52938048211305,LM,28.52938048211305,LM,28.52938048211305,LM,28.52938048211305,LM,85.33534922006396,H,85.33534922006396,H,85.33534922006396,H,85.33534922006396,H,85.33534922006396,H,85.33534922006396,H,85.33534922006396,H,4.204617779589707,L,85.33534922006396,H,85.33534922006396,H,85.33534922006396,H,70.99852775180213,MH,70.99852775180213,MH,70.99852775180213,MH,70.99852775180213,MH,70.99852775180213,MH,70.99852775180213,MH,70.99852775180213,MH,70.99852775180213,MH,70.99852775180213,MH,70.99852775180213,MH,70.99852775180213,MH,41.06111049836189,M,41.06111049836189,M,41.06111049836189,M,41.06111049836189,M,41.06111049836189,M,41.06111049836189,M,41.06111049836189,M,41.06111049836189,M,41.06111049836189,M,88.56268844763933,H,41.06111049836189,M,18.330397841385768,L,18.330397841385768,L,18.330397841385768,L,18.330397841385768,L,18.330397841385768,L,18.330397841385768,L,18.330397841385768,L,18.330397841385768,L,18.330397841385768,L,18.330397841385768,L,18.330397841385768,L
gene_9,80,0.5812096776375172,L,0.5812096776375172,L,72.41416667484395,MH,72.41416667484395,MH,72.41416667484395,MH,72.41416667484395,MH,72.41416667484395,MH,72.41416667484395,MH,72.41416667484395,MH,72.41416667484395,MH,72.41416667484395,MH,72.41416667484395,MH,72.41416667484395,MH,58.90882239185812,M,58.90882239185812,M,58.90882239185812,M,58.90882239185812,M,58.90882239185812,M,58.90882239185812,M,70.03099410129748,MH,58.90882239185812,M,58.90882239185812,M,58.90882239185812,M,58.90882239185812,M,21.74092056217316,LM,21.74092056217316,LM,21.74092056217316,LM,21.74092056217316,LM,21.74092056217316,LM,21.74092056217316,LM,21.74092056217316,LM,21.74092056217316,LM,21.74092056217316,LM,21.74092056217316,LM,21.74092056217316,LM,65.73746950053352,M,65.73746950053352,M,65.73746950053352,M,65.73746950053352,M,18.844950537796436,L,65.73746950053352,M,65.73746950053352,M,65.73746950053352,M,65.73746950053352,M,65.73746950053352,M,65.73746950053352,M,22.38968948994652,LM,85.81678996797424,H,22.38968948994652,LM,22.38968948994652,LM,22.38968948994652,LM,22.38968948994652,LM,95.6876636159102,H,22.38968948994652,LM,22.38968948994652,LM,22.38968948994652,LM,22.38968948994652,LM,45.470538511380425,M,45.470538511380425,M,45.470538511380425,M,45.470538511380425,M,45.470538511380425,M,45.470538511380425,M,45.470538511380425,M,45.470538511380425,M,45.470538511380425,M,45.470538511380425,M,45.470538511380425,M,78.11857870370466,MH,78.11857870370466,MH,78.11857870370466,MH,78.11857870370466,MH,78.11857870370466,MH,78.11857870370466,MH,78.11857870370466,MH,78.11857870370466,MH,78.11857870370466,MH,78.11857870370466,MH,78.11857870370466,MH,28.314468077710657,LM,28.314468077710657,LM,28.314468077710657,LM,28.314468077710657,LM,28.314468077710657,LM,28.314468077710657,LM,28.314468077710657,LM,5.033451772296898,L,28.314468077710657,LM,28.314468077710657,LM,28.314468077710657,LM,24.11148035952475,LM,24.11148035952475,LM,24.11148035952475,LM,24.11148035952475,LM,24.11148035952475,LM,24.11148035952475,LM,24.11148035952475,LM,24.11148035952475,LM,24.11148035952475,LM,24.11148035952475,LM,24.11148035952475,LM,25.540064341207135,LM,25.540064341207135,LM,25.540064341207135,LM,25.540064341207135,LM,25.540064341207135,LM,25.540064341207135,LM,25.540064341207135,LM,25.540064341207135,LM,25.540064341207135,LM,25.540064341207135,LM,25.540064341207135,LM
